genre,shop_name,tabelog_review,google_review,seat,table,holiday,price,menu,image_file_name,reserve,tel,latitude,longnitude,google_map_url,tabelog_url,official
ラーメン,武蔵家,3.56,4.20,15,なし,なし,650,ラーメン並,1_musahiya.jpg,,045-562-6662,35.554044,139.645642,https://goo.gl/maps/YhzjFwyFRX22,https://tabelog.com/kanagawa/A1401/A140204/14007923/,
ラーメン,銀家,3.23,3.90,67,あり,なし,650,ラーメン並,2_ginya.jpg,不可,045-548-9218,35.553098,139.645661,https://goo.gl/maps/m7gSDr5t2dM2,https://tabelog.com/kanagawa/A1401/A140204/14015064/,
ラーメン,壱角家,3.00,3.60,17,なし,なし,650,ラーメン並,3_ikkakuya.jpg,不可,045-566-6782,35.553652,139.646055,https://goo.gl/maps/z8TwWLcCtYH2,https://tabelog.com/kanagawa/A1401/A140204/14055672/,
ラーメン,らすた,3.56,3.80,19,なし,不定休,620,ラーメン並,4_rasuta.jpg,不可,045-565-1608,35.554,139.644781,https://goo.gl/maps/2EMXmM7AfF82,https://tabelog.com/kanagawa/A1401/A140204/14000095/,
ラーメン,がッとん,3.55,4.00,15,なし,なし,650,九州豚骨ラーメン,5_gatton.jpg,不可,045-548-8774,35.554247,139.645992,https://goo.gl/maps/XC35FzBNTxn,https://tabelog.com/kanagawa/A1401/A140204/14050746/,
ラーメン,どん,3.52,4.10,13,あり(2卓6席),日,680,ラーメン小,6_don.jpg,,045-564-1721,35.554197,139.646911,https://goo.gl/maps/QQNxSASXTjp,https://tabelog.com/kanagawa/A1401/A140204/14014795/,
ラーメン,豚星。,3.77,3.80,15,なし,なし,780,汁なし小ラーメン,7_butaboshi.jpg,不可,,35.559909,139.654369,https://goo.gl/maps/1fHDakKYtL72,https://tabelog.com/kanagawa/A1405/A140504/14058333/,https://twitter.com/butaboshi?lang=ja
ラーメン,大勝軒,3.58,4.00,9,なし,月,800,中華麺,8_taishoken.jpg,,,35.553724,139.646212,https://goo.gl/maps/hHrwzrTqxy12,https://tabelog.com/kanagawa/A1401/A140204/14033593/,https://www.facebook.com/hiyoshi.taishouken?fref=ts
ラーメン,ハマトラ,3.51,4.00,39,あり,なし,750,こく塩鶏そば,9_hamatora.jpg,,045-564-8618,35.555392,139.645156,https://goo.gl/maps/4PpKJqfJEUk,https://tabelog.com/kanagawa/A1401/A140204/14004981/,http://hamatora.co.jp/hiyoshi/
ラーメン,濱星,3.21,3.40,24,あり,なし,680,あっさり煮干しそば,10_hamaboshi.jpg,,045-620-2920,35.554203,139.645878,https://goo.gl/maps/exWoonv7YYK2,https://tabelog.com/kanagawa/A1401/A140204/14069971/,https://www.facebook.com/hamaboshihiyoshi
ラーメン,柴田商店,3.50,4.00,8,なし,水,600,とんこつ醤油ラーメン,11_shibata.jpg,,045-563-8368,35.554352,139.646518,https://goo.gl/maps/p8QtwFn5paK2,https://tabelog.com/kanagawa/A1401/A140204/14058110/,
ラーメン,日の出らーめん,3.30,3.30,24,あり(4卓4席),なし,680,ガッツ麺,12_hinode.jpg,不可,045-594-9088,35.554072,139.646297,https://goo.gl/maps/A39a3zBYKwJ2,https://tabelog.com/kanagawa/A1401/A140204/14056041/,https://m.facebook.com/hinodehiyoshi/
ラーメン,麺屋こころ,3.13,3.20,,あり,なし,830,台湾まぜそば,13_kokoro.jpg,,045-620-3478,35.553256,139.64585,https://goo.gl/maps/TM3sgY3gs3R2,https://tabelog.com/kanagawa/A1401/A140204/14073194/,https://www.menya-cocoro.com/
ラーメン,ひよし家,3.16,3.60,20,あり,日,650,らー麺,14_hiyopshiya.jpg,,045-561-8006,35.554461,139.645661,https://goo.gl/maps/1sJvocBsWdE2,https://tabelog.com/kanagawa/A1401/A140204/14000354/,
中華,王府,3.05,4.10,22,あり(4卓4席),日/3土,600,肉チャーハン,15_wanfu.jpg,,045-561-6106,35.553039,139.645467,https://goo.gl/maps/jRozRx5iK6A2,https://tabelog.com/kanagawa/A1401/A140204/14016152/,
中華,青蓮,3.10,3.60,60,あり,なし,760,広東風蒸し鶏ご飯,16_seiren.jpg,可,050-5593-8105,35.555036,139.645714,https://goo.gl/maps/s6c4aDZZtjx,https://tabelog.com/kanagawa/A1401/A140204/14030564/,http://www.seiren.cc/archives/txt0cjrr3tq8rzisjjz2/tempo11?easys_page_id=90&easys_block_id=syt4za0rb50yrmsbj2c5
中華,福源閣,3.05,3.90,24,あり(3卓4席),なし,750,麻婆豆腐,17_fukugennkaku.jpg,,045-563-3478,35.553201,139.646055,https://goo.gl/maps/sfAXjUV4S8P2,https://tabelog.com/kanagawa/A1401/A140204/14046263/,
中華,龍華,3.22,3.70,30,あり,火,800,チャーシュ麺+炒飯,18_ryuka.jpg,,045-563-2343,35.553303,139.646211,https://goo.gl/maps/PxGNXXpCwxF2,https://tabelog.com/kanagawa/A1401/A140204/14011914/,https://yuzen-tatsukichi.jp/ryuka/
中華,太楼,3.14,3.80,16,あり(4卓2席/2卓4席),なし,810,酸辣湯麺,19_taro.jpg,,045-561-5683,35.553328,139.645983,https://goo.gl/maps/KjCuwYpzu1M2,https://tabelog.com/kanagawa/A1401/A140204/14009129/,
中華,ダンダダン,3.07,3.70,67,あり,なし,680,餃子ライス(ランチ),20_dandadan.jpg,可,045-566-6870,35.553813,139.645907,https://goo.gl/maps/UtpMv7jhwLJ2,https://tabelog.com/kanagawa/A1401/A140204/14062049/,
中華,餃子処三日月,3.53,4.40,28,あり,日/月,600,餃子丼,21_mikaduki.jpg,可,045-561-9059,35.552909,139.645203,https://goo.gl/maps/1M1TZu3JdjM2,https://tabelog.com/kanagawa/A1401/A140204/14018056/,http://gyoza-mikaduki.jp
中華,日高屋,3.03,3.10,33,あり,なし,610,五目あんかけラーメン,22_hidakaya.jpg,,045-562-3644,35.553275,139.646133,https://goo.gl/maps/gsxHgoukmRu,https://tabelog.com/kanagawa/A1401/A140204/14030886/,http://hidakaya.hiday.co.jp/shop/page127.html
洋食,プクプク亭,3.59,4.00,40,あり,月/2火,995,プクプク亭特性ハンバーグ(170g),23_pukupuku.jpg,可,045-564-0227,35.554169,139.645747,https://goo.gl/maps/3rmc7Yj6DcL2,https://tabelog.com/kanagawa/A1401/A140204/14042473/,
洋食,YOU&I,3.03,4.50,30,あり,なし,780,ドリアセット,24_you&i.jpg,可,045-563-9931,35.554617,139.646889,https://goo.gl/maps/oyVqnu1frVy,https://tabelog.com/kanagawa/A1401/A140204/14052355/,
洋食,とらひげ,3.15,3.80,40,あり,なし,1200,ハンバーグステーキセット(180g),25_torahige.jpg,,045-562-0066,35.553977,139.644787,https://goo.gl/maps/EzMHB9oqdRr,https://tabelog.com/kanagawa/A1401/A140204/14000094/,
洋食,やながわ精肉店,3.38,3.60,40,あり,なし,880,ローストビーフ丼(ランチ),26_yanagawa.jpg,可,045-620-2906,35.552959,139.645389,https://goo.gl/maps/1W3JLgbmSTy,https://tabelog.com/kanagawa/A1401/A140204/14061323/,
洋食,Vendor×Kitchen,3.23,3.90,15,なし,なし,600,スタンダード,27_vendor.jpg,,045-563-7890,35.553798,139.645683,https://goo.gl/maps/z7wv2Gj4TyH2,https://tabelog.com/kanagawa/A1401/A140204/14037451/,
洋食,白鳥,3.15,3.90,19,あり(4卓4席),木/金,600,オムライス,28_hakutyou.jpg,,045-561-2448,35.55428,139.646381,https://goo.gl/maps/2mg2k5omSq72,https://tabelog.com/kanagawa/A1401/A140204/14000093/,
洋食,ド・マーレ湘南,3.07,4.00,,あり,なし,980,エビとナスのトマトのスパゲッティ,29_domare.jpg,可,045-566-0075,35.553947,139.646422,https://goo.gl/maps/3FSYpFiPNCP2,https://tabelog.com/kanagawa/A1401/A140204/14008606/,
洋食,Hi HOW ARE YOU,3.59,4.40,11,あり(1卓4席),月/1日/3日,800,キーマカレー,30_hihowareyou.jpg,,045-548-8153,35.553217,139.646036,https://goo.gl/maps/Mqv1SNhhDUB2,https://tabelog.com/kanagawa/A1401/A140204/14040637/,
洋食,クークリ,3.08,4.10,27,あり,不定休,800,ナン+カレー+サラダ+ラッシー,31_kukuri.jpg,,045-564-8149,35.553034,139.645478,https://goo.gl/maps/8apZqbYuzDF2,https://tabelog.com/kanagawa/A1401/A140204/14022649/,
洋食,GB's CAFE,3.03,3.80,90,あり,なし,890,アリゾナバーグライス,32_gbscafe.jpg,可,045-548-8156,35.554164,139.645757,https://goo.gl/maps/Rh9vF9qzmBJ2,https://tabelog.com/kanagawa/A1401/A140204/14053361/,
和食,とらの息子,3.05,4.60,12,あり,日,800,ミルフィーユかつ,33_toranomusuko.jpg,,045-561-2986,35.554228,139.646331,https://goo.gl/maps/jAycr4oB9bz,https://tabelog.com/kanagawa/A1401/A140204/14052551/,
和食,とんかつ和栗,3.58,4.30,10,なし,月,1000,ロースカツ定食,34_waguri.jpg,不可,045-565-9762,35.553225,139.645847,https://goo.gl/maps/QLyPD7tquu22,https://tabelog.com/kanagawa/A1401/A140204/14057269/,https://www.kurinoki-1985.com/
和食,とんかつ三田,3.20,4.20,21,あり,日,770,とんかつ定食,35_tonmita.jpg,,045-561-5539,35.554166,139.646863,https://goo.gl/maps/52n3e9ipGXz,https://tabelog.com/kanagawa/A1401/A140204/14009143/,
和食,おもや,3.03,3.60,30,あり,,700,さばの塩焼き定食(ランチ),36_omoya.jpg,,045-562-2974,35.5528,139.645642,https://goo.gl/maps/wKkxx9hXWxq,https://tabelog.com/kanagawa/A1401/A140204/14037077/,
和食,藤家,3.12,3.80,50,あり,月,755,本日の定食,37_fujiya.jpg,可,045-561-8972,35.554195,139.645619,https://goo.gl/maps/yTrEHgbAB4n,https://tabelog.com/kanagawa/A1401/A140204/14026217/,
和食,ぎょしん,3.05,4.20,30,あり,なし,550,ネギトロ・サーモン丼(ランチ),38_gyosin.jpg,,045-564-3480,35.554048,139.646091,https://goo.gl/maps/JQPYoCiHoMM2,https://tabelog.com/kanagawa/A1401/A140204/14045389/,https://www.sushi-gyoshin.com/
和食,はま寿司,3.03,3.30,152,あり(24卓),なし,700,1皿90円(平日)/100円(土日),39_hamazushi.jpg,不可,044-431-1280,35.559009,139.651793,https://goo.gl/maps/XVXnHtg1oK32,https://tabelog.com/kanagawa/A1405/A140504/14050310/,
和食,たつ吉そば処,3.00,3.60,60,あり,なし,600,せいろ,40_tastukichi.jpg,,045-562-1912,35.55282,139.646139,https://goo.gl/maps/DbieBi2WRWE2,https://tabelog.com/kanagawa/A1401/A140204/14020911/,https://yuzen-tatsukichi.jp/sobadokorotatsukichi/
和食,徳すけ,3.20,4.00,,あり,なし,360,月見うどん並,41_tokusuke.jpg,不可,045-560-5871,35.55297,139.645964,https://goo.gl/maps/PQV7fcjZaZR2,https://tabelog.com/kanagawa/A1401/A140204/14032622/,
和食,王将,3.07,4.20,60,あり,月,680,ぶた玉天,42_osho.jpg,可,045-562-0190,35.552972,139.645994,https://goo.gl/maps/7kDcuv9T5L82,https://tabelog.com/kanagawa/A1401/A140204/14025401/,
和食,えぞ丸,3.13,4.00,11,あり(4卓),なし,500,えぞや定食,43_ezomaru.jpg,可,045-564-1811,35.553703,139.646319,https://goo.gl/maps/kEToe1JNjLD2,https://tabelog.com/kanagawa/A1401/A140204/14040924/,
和食,沖縄食堂,3.27,3.50,39,あり(7卓4席/1卓2席),なし,780,ちゃんぷる定食,44_okinawasyokudo.jpg,可,045-548-6041,35.553679,139.645836,https://goo.gl/maps/Gzx5Z7UbaSs,https://tabelog.com/kanagawa/A1401/A140204/14063856/,