,shop_id,曜日,開店時間①,閉店時間①,開店時間②,閉店時間②
武蔵家,1,月,11:00,1:00,,
,1,火,11:00,1:00,,
,1,水,11:00,1:00,,
,1,木,11:00,1:00,,
,1,金,11:00,2:00,,
,1,土,11:00,2:00,,
,1,日,11:00,1:00,,
銀家,2,,5:00,2:00,,
壱角家,3,,10:30,2:00,,
らすた,4,,11:30,1:00,,
がッとん,5,,11:00,3:00,,
どん,6,,11:00,2:00,,
豚星。,7,,11:00,0:00,,
大勝軒,8,火,11:00,15:00,18:00,21:00
,8,水,11:00,15:00,18:00,21:00
,8,木,11:00,15:00,18:00,21:00
,8,金,11:00,15:00,18:00,21:00
,8,土,11:00,15:00,18:00,21:00
,8,日,11:00,17:00,,
ハマトラ,9,,11:00,1:00,,
濱星,10,月,11:00,1:30,,
,10,火,11:00,1:30,,
,10,水,11:00,1:30,,
,10,木,11:00,1:30,,
,10,金,11:00,1:30,,
,10,土,11:00,23:30,,
,10,日,11:00,22:00,,
柴田商店,11,,11:00,1:00,,
日の出らーめん,12,月,11:00,2:00,,
,12,火,11:00,2:00,,
,12,水,11:00,2:00,,
,12,木,11:00,2:00,,
,12,金,11:00,2:00,,
,12,土,11:00,2:00,,
,12,日,11:00,0:00,,
麺屋こころ,13,月,11:30,14:30,17:30,22:30
,13,火,11:30,14:30,17:30,22:30
,13,水,11:30,14:30,17:30,22:30
,13,木,11:30,14:30,17:30,22:30
,13,金,11:30,14:30,17:30,22:30
,13,土,11:30,20:30,,
,13,日,11:30,20:30,,
ひよし家,14,月,11:30,15:00,18:00,21:00
,14,火,11:30,15:00,18:00,21:00
,14,水,11:30,15:00,18:00,21:00
,14,木,11:30,15:00,18:00,21:00
,14,金,11:30,15:00,18:00,21:00
,14,土,11:30,15:00,,
,14,日,11:30,15:00,,
王府,15,,11:00,14:00,17:30,22:30
青蓮,16,,11:00,15:00,17:00,23:00
福源閣,17,,,,,
龍華,18,月,11:30,22:30,,
,18,水,11:30,22:30,,
,18,木,11:30,22:30,,
,18,金,11:30,22:30,,
,18,土,11:30,22:30,,
,18,日,11:30,22:00,,
,18,祝,11:30,22:00,,
太楼,19,,11:00,23:00,,
ダンダダン,20,月,11:30,14:00,17:00,0:00
,20,火,11:30,14:00,17:00,0:00
,20,水,11:30,14:00,17:00,0:00
,20,木,11:30,14:00,17:00,0:00
,20,金,11:30,14:00,17:00,0:00
,20,土,11:30,0:00,,
,20,日,11:30,0:00,,
餃子処三日月,21,,17:00,22:00,,
日高屋,22,月,10:00,2:00,,
,22,火,10:00,2:00,,
,22,水,10:00,2:00,,
,22,木,10:00,2:00,,
,22,金,10:00,4:00,,
,22,土,10:00,4:00,,
,22,日,10:00,2:00,,
プクプク亭,23,火,11:30,15:00,17:00,21:30
,23,水,11:30,15:00,17:00,21:30
,23,木,11:30,15:00,17:00,21:30
,23,金,11:30,15:00,17:00,21:30
,23,土,11:30,15:00,17:00,21:30
,23,日,11:30,15:00,17:00,21:15
,23,祝,11:30,15:00,17:00,21:15
YOU&I,24,,10:00,0:00,,
とらひげ,25,月,11:00,15:00,17:30,22:00
,25,火,11:00,15:00,17:30,22:00
,25,水,11:00,15:00,17:30,22:00
,25,木,11:00,15:00,17:30,22:00
,25,金,11:00,15:00,17:30,22:00
,25,土,11:00,22:30,,
,25,日,11:00,22:00,,
,25,祝,11:00,22:00,,
やながわ精肉店,26,月,11:30,14:30,17:30,22:30
,26,火,11:30,14:30,17:30,22:30
,26,水,11:30,14:30,17:30,22:30
,26,木,11:30,14:30,17:30,22:30
,26,金,11:30,14:30,17:30,23:00
,26,土,11:30,14:30,17:30,23:00
,26,日,11:30,14:30,17:30,22:30
,26,祝,11:30,14:30,17:30,22:30
Vendor×Kitchen,27,月,11:00,22:00,,
,27,火,11:00,22:00,,
,27,水,11:00,22:00,,
,27,木,11:00,22:00,,
,27,金,11:00,22:00,,
,27,土,11:00,22:00,,
,27,日,11:00,21:00,,
,27,祝,11:00,21:00,,
白鳥,28,,11:00,16:00,,
ド・マーレ湘南,29,,11:30,15:30,17:00,22:00
Hi HOW ARE YOU,30,,11:30,21:00,,
クークリ,31,,11:00,15:00,17:00,23:30
GB's CAFE,32,,12:00,1:00,,
とらの息子,33,,11:00,22:30,,
和栗,34,,11:00,15:00,17:00,22:00
とんかつ三田,35,,11:00,22:00,,
おもや,36,,11:30,0:00,,
藤家,37,,11:30,14:00,17:00,23:00
ぎょしん,38,,11:30,22:00,,
はま寿司,39,,11:00,23:00,,
たつ吉そば処,40,月,11:30,23:30,,
,40,火,11:30,23:30,,
,40,水,11:30,23:30,,
,40,木,11:30,23:30,,
,40,金,11:30,23:30,,
,40,土,11:30,23:30,,
,40,日,11:30,22:30,,
,40,祝,11:30,22:30,,
徳すけ,41,,11:00,16:00,18:00,22:00
王将,42,,18:00,0:00,,
えぞ丸,43,月,11:00,22:00,,
,43,火,11:00,22:00,,
,43,水,11:00,22:00,,
,43,木,11:00,22:00,,
,43,金,11:00,22:00,,
,43,土,11:00,21:00,,
,43,日,11:00,21:00,,
,43,祝,11:00,21:00,,
沖縄食堂,44,,11:00,4:00,,