,店舗ID,系統①,系統②
武蔵家,1,家系,ライス無料（たくあん）・人気
銀家,2,家系,ライス無料・大人数
壱角家,3,家系,豚骨・チェーン
らすた,4,家系,豚骨・香り
がッとん,5,博多豚骨,元気・深夜
どん,6,二郎,油そば・野菜多い・行列
豚星。,7,二郎,汁なし・限定・行列
大勝軒,8,醤油,あっさり・見つけにくい
ハマトラ,9,魚介・つけ麺,黒麺・ジャスミン茶・綿あめ
濱星,10,煮干し,定食・ライス無料（塩辛・高菜）
柴田商店,11,豚骨,ライス無料（高菜）・たまねぎ
日の出らーめん,12,まぜそば,ガッツ麺・台湾まぜそば
麺屋こころ,13,まぜそば,本家台湾まぜそば・チェーン・追い飯
ひよし家,14,醤油,あっさり
王府,15,本格中華,コスパよし
青蓮,16,本格中華,健康中華・大人数・チェーン
福源閣,17,本格中華,担々麺・居酒屋・紹興酒
龍華,18,本格中華,焼き小籠包セット・黒炒飯・紹興酒
太楼,19,餃子,エビチリ飯・炒飯・麺類
ダンダダン,20,餃子,酒場・ビール・チェーン
餃子処三日月,21,餃子,本格手作り餃子・焼餃子・水餃子・麺類・お酒
日高屋,22,中華・定食,ラーメン・チェーン
プクプク亭,23,洋食,豊富なハンバーグ・かつ・カレー・グラタン
YOU&I,24,洋食,カレー・ドリア・独特な雰囲気（時間が止まったかのような）
とらひげ,25,洋食,定食・かつ・カレー・ボリューム・ご飯おかわり
やながわ精肉店,26,ステーキ,ハンバーグ・お肉屋さんが経営
Vendor×Kitchen,27,タコライス,アメリカン・おしゃれ
白鳥,28,オムライス,レトロ・老舗・揚げ物
ド・マーレ湘南,29,イタリアン,パスタ・ピザ・ランチはドリンクバー（果汁100%ジュース）
Hi HOW ARE YOU,30,カレー,パキスタン家庭風チキンカレー・キーマカレー
クークリ,31,インドカレー,ネパール・ナン・ラッシー
GB's CAFE,32,アメリカン,カフェ・ご飯・飲み会
とらの息子,33,とんかつ,揚げ物・ご飯おかわり
和栗,34,とんかつ,カレー・こだわり・4種の塩
とんかつ三田,35,とんかつ,ご飯おかわり無料
おもや,36,和食,定食・体育会系・母の味
藤家,37,和食・割烹,焼き魚・刺し身・日本酒
ぎょしん,38,回転寿司,丼ぶり（あおさ汁つき）
はま寿司,39,回転寿司,チェーン・5種の醤油
たつ吉そば処,40,そば,うどん・自家打ちそば
徳すけ,41,うどん,かき揚げ・手打ちうどん
王将,42,お好み焼き,もんじゃ・宴会
えぞ丸,43,唐揚げ,ザンギ・持ち帰り
沖縄食堂,44,沖縄料理,居酒屋・チャンプル